ID_MP;REFERENCIAPROIMPO;TIPO;PROVEEDOR;REFERENCIAPROVEEDOR;NOMBRE;UNIDADDEMEDIDA;CLAVE;LARGO;ANCHO;ALTO;MINIMAPRODUCCION;PRECIOUNITARIO;DESPERDICIO;DOSIFICACION;CANTIDADAMORTIZACION;VALORMOLDE
1000;MP-0485;Empaque;PACKING;T15080C1-1;Caja Alpina 0485;UND;C790K;600;400;200;;2533;N/A;N/A;N/A;N/A
1001;MP-0531;Empaque;PACKING;T14967C1-0;Caja bandeja Gourmet;UND;C720K;339;314;276;1277;1634;N/A;N/A;N/A;N/A
1002;MP-0451;Empaque;PACKING;T14959C1-0;Caja con pre.corte para termos;UND;C620BCO;472;316;243;;1929;N/A;N/A;N/A;N/A
1003;MP-0437;Empaque;PACKING;T14872C1-0;CAJA PARA BANDEJA;UND;C790K;316;312;178;0;1362;N/A;N/A;N/A;N/A
1004;NOVAVENTA;Empaque;PACKING;T13000C1-1;CAJA 470 X 384 X 290 (Novaventa);UND;C790K;470;384;290;1211;2325;N/A;N/A;N/A;N/A
1005;MP-0048;Empaque;PACKING;T08501C1-2;CAJA 44,5 X 35,6 X 23,0;UND;C790K;445;356;230;1092;2059;N/A;N/A;N/A;N/A
1006;MP-00051;Empaque;PACKING;T06106C1-3;CAJA 646 x 330 x 400;UND;C620K;646;330;400;;2469;N/A;N/A;N/A;N/A
1007;GRANDE;Empaque;PACKING;T05540C1-5;CAJA GRANDE PROIMPO;UND;C790K;600;500;500;2908;4468;N/A;N/A;N/A;N/A
1008;TAPA METAL;Empaque;PACKING;T05561C1-4;CAJA TAPA METAL;UND;C790K;470;310;440;3561;2382;N/A;N/A;N/A;N/A
1009;MP-0498;Empaque;PACKING;T05561X1-3;PARTICIÓN TAPA METAL;UND;B620K;468;308;220;;879;N/A;N/A;N/A;N/A
1010;BAVARIA;Empaque;PACKING;T05635C1-5;CAJA BAVARIA;UND;C790K;470;310;310;1090;2063;N/A;N/A;N/A;N/A
1011;PEQUENA;Empaque;PACKING;T05636C1-2;CAJA SALDOS;UND;C790K;290;250;250;2125;1109;N/A;N/A;N/A;N/A
1012;MP-0734;Empaque;PACKING;T15667C1-0;Caja pta comida Laik;UND;C620K;360;240;225;1380;1103;N/A;N/A;N/A;N/A
